ccd,bit,n_bpm1,n_bpm2,pcent_bpm1,pcent_bpm2,diff
31,512,33920,33920,0.40435791015625,0.40435791015625,0
31,1024,0,0,0.0,0.0,0
31,2048,15,15,0.00017881393432617188,0.00017881393432617188,0
31,4096,4194304,4194304,50.0,50.0,0
31,8192,204800,204800,2.44140625,2.44140625,0
31,16384,118898,118898,1.417374610900879,1.417374610900879,0
32,0,7999526,7999528,95.3617811203003,95.3618049621582,-2
32,1,22535,22535,0.26863813400268555,0.26863813400268555,0
32,2,71252,71506,0.8493900299072266,0.8524179458618164,-254
32,4,0,0,0.0,0.0,0
32,8,11,11,0.00013113021850585938,0.00013113021850585938,0
32,16,2302,7230,0.027441978454589844,0.08618831634521484,-4928
32,32,0,0,0.0,0.0,0
32,64,27120,27120,0.32329559326171875,0.32329559326171875,0
32,128,183420,183420,2.1865367889404297,2.1865367889404297,0
32,256,0,0,0.0,0.0,0
32,512,0,0,0.0,0.0,0
32,1024,8192,8192,0.09765625,0.09765625,0
32,2048,158,149,0.0018835067749023438,0.0017762184143066406,9
32,4096,0,0,0.0,0.0,0
32,8192,204800,204800,2.44140625,2.44140625,0
32,16384,114587,114587,1.365983486175537,1.365983486175537,0
33,0,8048804,8045732,95.94922065734863,95.91259956359863,3072
33,1,14369,14369,0.17129182815551758,0.17129182815551758,0
33,2,70255,70441,0.8375048637390137,0.8397221565246582,-186
33,4,0,0,0.0,0.0,0
33,8,0,1,0.0,1.1920928955078125e-05,-1
33,16,1,37,1.1920928955078125e-05,0.0004410743713378906,-36
33,32,0,0,0.0,0.0,0
33,64,0,3053,0.0,0.036394596099853516,-3053
33,128,183420,183420,2.1865367889404297,2.1865367889404297,0
33,256,0,0,0.0,0.0,0
33,512,0,0,0.0,0.0,0
33,1024,0,0,0.0,0.0,0
33,2048,0,0,0.0,0.0,0
33,4096,0,0,0.0,0.0,0
33,8192,204800,204800,2.44140625,2.44140625,0
33,16384,100065,100065,1.1928677558898926,1.1928677558898926,0
34,0,8033702,8033701,95.76919078826904,95.76917886734009,1
34,1,14351,14351,0.17107725143432617,0.17107725143432617,0
34,2,87470,87686,1.0427236557006836,1.0452985763549805,-216
34,4,0,0,0.0,0.0,0
34,8,2,2,2.384185791015625e-05,2.384185791015625e-05,0
34,16,68,68,0.0008106231689453125,0.0008106231689453125,0
34,32,0,0,0.0,0.0,0
34,64,947,947,0.011289119720458984,0.011289119720458984,0
34,128,183420,183420,2.1865367889404297,2.1865367889404297,0
34,256,0,0,0.0,0.0,0
34,512,5177,5177,0.06171464920043945,0.06171464920043945,0
34,1024,0,0,0.0,0.0,0
34,2048,21,24,0.0002503395080566406,0.000286102294921875,-3
34,4096,0,0,0.0,0.0,0
34,8192,204800,204800,2.44140625,2.44140625,0
34,16384,111157,111157,1.3250946998596191,1.3250946998596191,0
35,0,8035390,8031912,95.78931331634521,95.74785232543945,3478
35,1,14339,14339,0.17093420028686523,0.17093420028686523,0
